,region_code,description,dt,region,viz_group_code,median_q,q_pct_delta,median_psf,psf_pct_delta,listings,listings_pct_delta,median_lifetime,median_psf_history,listings_history,median_q_history
70,D,L | Detached,2024-09-24,Balestier / Geylang (D12-14),AL3,10800000.0,0.0,1652.0,0.024178549287042772,123,0.04237288135593231,21.0,"[{'time': '2024-09-18', 'value': 1633.0}
 {'time': '2024-09-19', 'value': 1633.0}
 {'time': '2024-09-20', 'value': 1652.0}
 {'time': '2024-09-21', 'value': 1665.5}
 {'time': '2024-09-22', 'value': 1665.5}
 {'time': '2024-09-23', 'value': 1652.0}
 {'time': '2024-09-24', 'value': 1652.0}]","[{'time': '2024-09-18', 'value': 117} {'time': '2024-09-19', 'value': 117}
 {'time': '2024-09-20', 'value': 119} {'time': '2024-09-21', 'value': 120}
 {'time': '2024-09-22', 'value': 120} {'time': '2024-09-23', 'value': 123}
 {'time': '2024-09-24', 'value': 123}]","[{'time': '2024-09-18', 'value': 10800000.0}
 {'time': '2024-09-19', 'value': 10800000.0}
 {'time': '2024-09-20', 'value': 10800000.0}
 {'time': '2024-09-21', 'value': 10800000.0}
 {'time': '2024-09-22', 'value': 10800000.0}
 {'time': '2024-09-23', 'value': 10800000.0}
 {'time': '2024-09-24', 'value': 10800000.0}]"
71,E,L | Detached,2024-09-24,East Coast (D15-16),AL3,12300000.0,0.02508542378531553,1960.0,0.003070624360286489,417,0.004819277108433662,21.0,"[{'time': '2024-09-18', 'value': 1956.0}
 {'time': '2024-09-19', 'value': 1956.0}
 {'time': '2024-09-20', 'value': 1956.0}
 {'time': '2024-09-21', 'value': 1956.0}
 {'time': '2024-09-22', 'value': 1956.0}
 {'time': '2024-09-23', 'value': 1960.0}
 {'time': '2024-09-24', 'value': 1960.0}]","[{'time': '2024-09-18', 'value': 414} {'time': '2024-09-19', 'value': 417}
 {'time': '2024-09-20', 'value': 423} {'time': '2024-09-21', 'value': 423}
 {'time': '2024-09-22', 'value': 418} {'time': '2024-09-23', 'value': 421}
 {'time': '2024-09-24', 'value': 417}]","[{'time': '2024-09-18', 'value': 11999500.0}
 {'time': '2024-09-19', 'value': 12000000.0}
 {'time': '2024-09-20', 'value': 12000000.0}
 {'time': '2024-09-21', 'value': 12300000.0}
 {'time': '2024-09-22', 'value': 12300000.0}
 {'time': '2024-09-23', 'value': 12300000.0}
 {'time': '2024-09-24', 'value': 12300000.0}]"
72,F,L | Detached,2024-09-24,Changi / Pasir Ris (D17-18),AL3,6940000.0,0.016105417276720324,1381.5,0.0,46,0.045454545454545414,21.0,"[{'time': '2024-09-18', 'value': 1381.5}
 {'time': '2024-09-19', 'value': 1385.0}
 {'time': '2024-09-20', 'value': 1381.5}
 {'time': '2024-09-21', 'value': 1385.0}
 {'time': '2024-09-22', 'value': 1385.0}
 {'time': '2024-09-23', 'value': 1381.5}
 {'time': '2024-09-24', 'value': 1381.5}]","[{'time': '2024-09-18', 'value': 44} {'time': '2024-09-19', 'value': 45}
 {'time': '2024-09-20', 'value': 46} {'time': '2024-09-21', 'value': 45}
 {'time': '2024-09-22', 'value': 45} {'time': '2024-09-23', 'value': 46}
 {'time': '2024-09-24', 'value': 46}]","[{'time': '2024-09-18', 'value': 6830000.0}
 {'time': '2024-09-19', 'value': 6880000.0}
 {'time': '2024-09-20', 'value': 6940000.0}
 {'time': '2024-09-21', 'value': 7000000.0}
 {'time': '2024-09-22', 'value': 7000000.0}
 {'time': '2024-09-23', 'value': 6940000.0}
 {'time': '2024-09-24', 'value': 6940000.0}]"
73,G,L | Detached,2024-09-24,Serangoon / Thomson (D19-20),AL3,10600000.0,0.0,1340.0,-0.0726643598615917,289,0.01760563380281699,21.0,"[{'time': '2024-09-18', 'value': 1454.5}
 {'time': '2024-09-19', 'value': 1437.0}
 {'time': '2024-09-20', 'value': 1400.0}
 {'time': '2024-09-21', 'value': 1400.0}
 {'time': '2024-09-22', 'value': 1340.0}
 {'time': '2024-09-23', 'value': 1340.0}
 {'time': '2024-09-24', 'value': 1340.0}]","[{'time': '2024-09-18', 'value': 282} {'time': '2024-09-19', 'value': 279}
 {'time': '2024-09-20', 'value': 285} {'time': '2024-09-21', 'value': 289}
 {'time': '2024-09-22', 'value': 287} {'time': '2024-09-23', 'value': 289}
 {'time': '2024-09-24', 'value': 289}]","[{'time': '2024-09-18', 'value': 10600000.0}
 {'time': '2024-09-19', 'value': 10600000.0}
 {'time': '2024-09-20', 'value': 10600000.0}
 {'time': '2024-09-21', 'value': 10600000.0}
 {'time': '2024-09-22', 'value': 10600000.0}
 {'time': '2024-09-23', 'value': 10600000.0}
 {'time': '2024-09-24', 'value': 10600000.0}]"
74,H,L | Detached,2024-09-24,West (D22-24),AL3,7838888.0,0.06010512757957187,1617.0,0.018261964735516445,6,0.0,21.0,"[{'time': '2024-09-18', 'value': 1588.0}
 {'time': '2024-09-19', 'value': 1588.0}
 {'time': '2024-09-20', 'value': 1928.0}
 {'time': '2024-09-21', 'value': 1928.0}
 {'time': '2024-09-22', 'value': 1617.0}
 {'time': '2024-09-23', 'value': 1617.0}
 {'time': '2024-09-24', 'value': 1617.0}]","[{'time': '2024-09-18', 'value': 6} {'time': '2024-09-19', 'value': 6}
 {'time': '2024-09-20', 'value': 7} {'time': '2024-09-21', 'value': 7}
 {'time': '2024-09-22', 'value': 6} {'time': '2024-09-23', 'value': 6}
 {'time': '2024-09-24', 'value': 6}]","[{'time': '2024-09-18', 'value': 7394444.0}
 {'time': '2024-09-19', 'value': 7394444.0}
 {'time': '2024-09-20', 'value': 7500000.0}
 {'time': '2024-09-21', 'value': 7500000.0}
 {'time': '2024-09-22', 'value': 7838888.0}
 {'time': '2024-09-23', 'value': 7838888.0}
 {'time': '2024-09-24', 'value': 7838888.0}]"
75,I,L | Detached,2024-09-24,North (D25-28),AL3,7980000.0,0.0,1051.0,0.08968377397615335,139,0.007246376811594235,21.0,"[{'time': '2024-09-18', 'value': 986.0}
 {'time': '2024-09-19', 'value': 1055.5}
 {'time': '2024-09-20', 'value': 1060.0}
 {'time': '2024-09-21', 'value': 1060.0}
 {'time': '2024-09-22', 'value': 1055.5}
 {'time': '2024-09-23', 'value': 1051.0}
 {'time': '2024-09-24', 'value': 1051.0}]","[{'time': '2024-09-18', 'value': 140} {'time': '2024-09-19', 'value': 140}
 {'time': '2024-09-20', 'value': 142} {'time': '2024-09-21', 'value': 143}
 {'time': '2024-09-22', 'value': 140} {'time': '2024-09-23', 'value': 141}
 {'time': '2024-09-24', 'value': 139}]","[{'time': '2024-09-18', 'value': 7980000.0}
 {'time': '2024-09-19', 'value': 7980000.0}
 {'time': '2024-09-20', 'value': 7980000.0}
 {'time': '2024-09-21', 'value': 7980000.0}
 {'time': '2024-09-22', 'value': 7980000.0}
 {'time': '2024-09-23', 'value': 7980000.0}
 {'time': '2024-09-24', 'value': 7980000.0}]"
77,A,NL | 1 BR/ Studio,2024-09-24,City & South West (D01-08),AN1,1280000.0,0.0,2333.0,-0.001497967044725046,2176,-0.02246181491464505,21.0,"[{'time': '2024-09-18', 'value': 2333.0}
 {'time': '2024-09-19', 'value': 2334.0}
 {'time': '2024-09-20', 'value': 2334.5}
 {'time': '2024-09-21', 'value': 2336.5}
 {'time': '2024-09-22', 'value': 2336.0}
 {'time': '2024-09-23', 'value': 2333.5}
 {'time': '2024-09-24', 'value': 2333.0}]","[{'time': '2024-09-18', 'value': 2235}
 {'time': '2024-09-19', 'value': 2227}
 {'time': '2024-09-20', 'value': 2244}
 {'time': '2024-09-21', 'value': 2236}
 {'time': '2024-09-22', 'value': 2206}
 {'time': '2024-09-23', 'value': 2214}
 {'time': '2024-09-24', 'value': 2176}]","[{'time': '2024-09-18', 'value': 1280000.0}
 {'time': '2024-09-19', 'value': 1280000.0}
 {'time': '2024-09-20', 'value': 1280000.0}
 {'time': '2024-09-21', 'value': 1280000.0}
 {'time': '2024-09-22', 'value': 1280000.0}
 {'time': '2024-09-23', 'value': 1280000.0}
 {'time': '2024-09-24', 'value': 1280000.0}]"
78,B,NL | 1 BR/ Studio,2024-09-24,Orchard / Holland (D09-10),AN1,1430000.0,0.0,2521.0,-0.0011885895404120106,974,-0.021105527638190957,21.0,"[{'time': '2024-09-18', 'value': 2521.0}
 {'time': '2024-09-19', 'value': 2521.0}
 {'time': '2024-09-20', 'value': 2522.5}
 {'time': '2024-09-21', 'value': 2525.5}
 {'time': '2024-09-22', 'value': 2524.5}
 {'time': '2024-09-23', 'value': 2526.0}
 {'time': '2024-09-24', 'value': 2521.0}]","[{'time': '2024-09-18', 'value': 986} {'time': '2024-09-19', 'value': 990}
 {'time': '2024-09-20', 'value': 996}
 {'time': '2024-09-21', 'value': 1000}
 {'time': '2024-09-22', 'value': 986} {'time': '2024-09-23', 'value': 987}
 {'time': '2024-09-24', 'value': 974}]","[{'time': '2024-09-18', 'value': 1430000.0}
 {'time': '2024-09-19', 'value': 1430000.0}
 {'time': '2024-09-20', 'value': 1430000.0}
 {'time': '2024-09-21', 'value': 1430750.0}
 {'time': '2024-09-22', 'value': 1433250.0}
 {'time': '2024-09-23', 'value': 1448000.0}
 {'time': '2024-09-24', 'value': 1430000.0}]"
79,C,NL | 1 BR/ Studio,2024-09-24,"Newton / Bt. Timah (D11, 21)",AN1,1298000.0,0.006201550387596955,2318.0,0.0,390,-0.010152284263959421,21.0,"[{'time': '2024-09-18', 'value': 2318.0}
 {'time': '2024-09-19', 'value': 2318.0}
 {'time': '2024-09-20', 'value': 2318.0}
 {'time': '2024-09-21', 'value': 2318.0}
 {'time': '2024-09-22', 'value': 2318.0}
 {'time': '2024-09-23', 'value': 2318.0}
 {'time': '2024-09-24', 'value': 2318.0}]","[{'time': '2024-09-18', 'value': 390} {'time': '2024-09-19', 'value': 390}
 {'time': '2024-09-20', 'value': 398} {'time': '2024-09-21', 'value': 400}
 {'time': '2024-09-22', 'value': 395} {'time': '2024-09-23', 'value': 395}
 {'time': '2024-09-24', 'value': 390}]","[{'time': '2024-09-18', 'value': 1295250.0}
 {'time': '2024-09-19', 'value': 1290644.0}
 {'time': '2024-09-20', 'value': 1292450.0}
 {'time': '2024-09-21', 'value': 1291200.0}
 {'time': '2024-09-22', 'value': 1290000.0}
 {'time': '2024-09-23', 'value': 1298000.0}
 {'time': '2024-09-24', 'value': 1298000.0}]"
80,D,NL | 1 BR/ Studio,2024-09-24,Balestier / Geylang (D12-14),AN1,948000.0,0.010660980810234477,1879.0,0.0015991471215350828,703,-0.014025245441795287,21.0,"[{'time': '2024-09-18', 'value': 1876.0}
 {'time': '2024-09-19', 'value': 1876.0}
 {'time': '2024-09-20', 'value': 1876.0}
 {'time': '2024-09-21', 'value': 1876.0}
 {'time': '2024-09-22', 'value': 1876.0}
 {'time': '2024-09-23', 'value': 1881.0}
 {'time': '2024-09-24', 'value': 1879.0}]","[{'time': '2024-09-18', 'value': 711} {'time': '2024-09-19', 'value': 711}
 {'time': '2024-09-20', 'value': 715} {'time': '2024-09-21', 'value': 714}
 {'time': '2024-09-22', 'value': 709} {'time': '2024-09-23', 'value': 710}
 {'time': '2024-09-24', 'value': 703}]","[{'time': '2024-09-18', 'value': 930000.0}
 {'time': '2024-09-19', 'value': 938000.0}
 {'time': '2024-09-20', 'value': 938888.0}
 {'time': '2024-09-21', 'value': 939444.0}
 {'time': '2024-09-22', 'value': 940000.0}
 {'time': '2024-09-23', 'value': 945000.0}
 {'time': '2024-09-24', 'value': 948000.0}]"
